id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
74bfbnqgth7pwsmhh91ys,WaitroseType,Teapigs Chamomile Flowers 40 Tea Temples,Teapigs Chamomile Flowers 40 Tea Temples,Teapigs Chamomile Flowers 40 Tea Temples,Teapigs,9.15,GBP,1,C62,£9.15,£15.25/100g,859140-693328-693329,Teapigs Chamomile Flowers 40 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_859140_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_859140_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_859140_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_859140_BP_9.jpg,5,2,60g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
w53gvokzn2d27s88kxdx,WaitroseType,Teapigs Darjeeling Earl Grey 15 Tea Temples,Teapigs Darjeeling Earl Grey 15 Tea Temples,Teapigs Darjeeling Earl Grey 15 Tea Temples,Teapigs,4.75,GBP,1,C62,£3.50,£9.34/100g,533515-75433-75434,Teapigs Darjeeling Earl Grey 15 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_533515_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_533515_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_533515_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_533515_BP_9.jpg,3.5455,11,37.5g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
mqdykawjc2dkku77bjwmni,WaitroseType,Teapigs Darjeeling Earl Grey 40 Tea Temples,Teapigs Darjeeling Earl Grey 40 Tea Temples,Teapigs Darjeeling Earl Grey 40 Tea Temples,Teapigs,9.15,GBP,1,C62,£9.15,£9.15/100g,512943-756354-756355,Teapigs Darjeeling Earl Grey 40 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_512943_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_512943_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_512943_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_512943_BP_9.jpg,4.3333,3,100g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
znu1bgib5vpfmefy3e4zr,WaitroseType,Teapigs Decaf English Breakfast 40 Tea Temples,Teapigs Decaf English Breakfast 40 Tea Temples,Teapigs Decaf English Breakfast 40 Tea Temples,Teapigs,9.15,GBP,1,C62,£7.00,£5.84/100g,824486-770584-770585,Teapigs Decaf English Breakfast 40 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_824486_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_824486_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_824486_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_824486_BP_9.jpg,5,1,120g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
kzphqxib1fud0jxirbpy,WaitroseType,Teapigs Everyday Brew 40 Tea Temples,Teapigs Everyday Brew 40 Tea Temples,Teapigs Everyday Brew 40 Tea Temples,Teapigs,9.15,GBP,1,C62,£9.15,£6.94/100g,774164-580168-580169,Teapigs Everyday Brew 40 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_774164_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_774164_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_774164_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_774164_BP_9.jpg,5,6,132g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
wrpqd8gmhxskpnkhbarzer,WaitroseType,Teapigs Everyday Brew Tea 15 Tea Temples,Teapigs Everyday Brew Tea 15 Tea Temples,Teapigs Everyday Brew Tea 15 Tea Temples,Teapigs,4.75,GBP,1,C62,£3.50,£7.08/100g,641305-91061-91062,Teapigs Everyday Brew Tea 15 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_641305_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_641305_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_641305_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_641305_BP_9.jpg,3.75,8,49.5g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
hb0b1gqdv5ccpgp0o0bej4,WaitroseType,Teapigs Grean Tea with Peach 15 Tea Temples,Teapigs Grean Tea with Peach 15 Tea Temples,Teapigs Grean Tea with Peach 15 Tea Temples,Teapigs,4.75,GBP,1,C62,£3.50,£9.34/100g,453741-776640-776641,Teapigs Grean Tea with Peach 15 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_453741_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_453741_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_453741_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_453741_BP_9.jpg,0,0,37.5g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
xf4svs2x14mh2axrqidwkd,WaitroseType,Teapigs Green Tea with Mint 15 Tea Temples,Teapigs Green Tea with Mint 15 Tea Temples,Teapigs Green Tea with Mint 15 Tea Temples,Teapigs,4.75,GBP,1,C62,£3.50,£9.34/100g,655481-381268-381269,Teapigs Green Tea with Mint 15 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_655481_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_655481_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_655481_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_655481_BP_9.jpg,0,0,37.5g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
0p5nruyik5wrzcsceusxn6l,WaitroseType,Teapigs Jasmine Pearls Tea 15 Tea Temples,Teapigs Jasmine Pearls Tea 15 Tea Temples,Teapigs Jasmine Pearls Tea 15 Tea Temples,Teapigs,6.5,GBP,1,C62,£6.50,£17.34/100g,713500-101398-101399,Teapigs Jasmine Pearls Tea 15 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_713500_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_713500_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_713500_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_713500_BP_9.jpg,4.6667,3,37.5g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
sh31cg1d5w97gbfudec5g3,WaitroseType,Teapigs Lemon & Ginger Tea 15 Tea Temples,Teapigs Lemon & Ginger Tea 15 Tea Temples,Teapigs Lemon & Ginger Tea 15 Tea Temples,Teapigs,4.75,GBP,1,C62,£3.50,£9.34/100g,608828-86355-86356,Teapigs Lemon & Ginger Tea 15 Tea Temples,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_608828_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_608828_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_608828_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_608828_BP_9.jpg,5,3,37.5g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
