id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
np1yqsauzwgjb5x6a0cmy,WaitroseType,Waitrose Garlic & Chilli King Prawns,Waitrose Garlic & Chilli King Prawns,Waitrose Garlic & Chilli King Prawns,Waitrose Ltd,4.15,GBP,1,C62,£4.15,£3.20/100g,542940-724869-724870,Waitrose Garlic & Chilli King Prawns,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_542940_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_542940_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_542940_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_542940_BP_9.jpg,4.5417,48,130g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
izgzd8u6ywsiuex24oxc,WaitroseType,Waitrose garlic & coriander couscous,Waitrose garlic & coriander couscous,Waitrose garlic & coriander couscous,Waitrose Ltd,0.9,GBP,1,C62,90p,£8.19/kg,029234-14261-14262,Waitrose garlic & coriander couscous,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_029234_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_029234_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_029234_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_029234_BP_9.jpg,4.7121,66,110g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ad39u1ttxuvmqub1hb2t6n,WaitroseType,Waitrose Garlic & Coriander Naans,Waitrose Garlic & Coriander Naans,Waitrose Garlic & Coriander Naans,Waitrose Ltd,1.25,GBP,1,C62,£1.25,48.1p/100g,835481-778458-778459,Waitrose Garlic & Coriander Naans,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_835481_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_835481_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_835481_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_835481_BP_9.jpg,3.5,12,260g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
se7a4zmcgrooq5bizhd2m,WaitroseType,Waitrose Garlic & Jalapeño Stuffed Olives,Waitrose Garlic & Jalapeño Stuffed Olives,Waitrose Garlic & Jalapeño Stuffed Olives,Waitrose Ltd,3.85,GBP,1,C62,£3.85,£2.14/100g,882722-202537-202538,Waitrose Garlic & Jalapeño Stuffed Olives,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_882722_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_882722_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_882722_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_882722_BP_9.jpg,4.7643,140,180g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
vww1aa1ew6g9cwhv05wkb,WaitroseType,Waitrose Garlic Butter Bag,Waitrose Garlic Butter Bag,Waitrose Garlic Butter Bag,Waitrose Ltd,5,GBP,1,C62,£5.00,null,835404-807633-807634,Waitrose Garlic Butter Bag,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_835404_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_835404_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_835404_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_835404_BP_9.jpg,0,0,each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
2bvl6gvrehdou3zfnu579,WaitroseType,Waitrose Garlic Butter Filled Doughballs,Waitrose Garlic Butter Filled Doughballs,Waitrose Garlic Butter Filled Doughballs,Waitrose Ltd,3.25,GBP,1,C62,£3.25,£1.30/100g,542516-166918-166919,Waitrose Garlic Butter Filled Doughballs,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_542516_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_542516_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_542516_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_542516_BP_9.jpg,3.6769,65,250g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ruwvqbxylw9anf9rm6c4,WaitroseType,Waitrose Garlic Focaccia Mix,Waitrose Garlic Focaccia Mix,Waitrose Garlic Focaccia Mix,Waitrose Ltd,1.35,GBP,1,C62,£1.35,27p/100g,867581-762600-762601,Waitrose Garlic Focaccia Mix,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_867581_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_867581_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_867581_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_867581_BP_9.jpg,2.75,4,500g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
22wg9tha46djxwfk33jk8,WaitroseType,Waitrose Garlic Mushroom & Spinach Pizza,Waitrose Garlic Mushroom & Spinach Pizza,Waitrose Garlic Mushroom & Spinach Pizza,Waitrose Ltd,4.95,GBP,1,C62,£3.30,£8.36/kg,779973-662017-662018,Waitrose Garlic Mushroom & Spinach Pizza,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_779973_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_779973_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_779973_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_779973_BP_9.jpg,4.1511,331,395g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
jctmia0z80qv1ey1dt41ra,WaitroseType,"Waitrose Gavi Piedmont, Italy","Waitrose Gavi Piedmont, Italy","Waitrose Gavi Piedmont, Italy",Waitrose Ltd,9.49,GBP,1,C62,£9.49,£9.49/75cl,561024-398290-398291,"Waitrose Gavi Piedmont, Italy",https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_561024_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_561024_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_561024_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_561024_BP_9.jpg,4.3607,61,75cl,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ash6ob484eih3v082gd1q4,WaitroseType,Waitrose Genoa Cake,Waitrose Genoa Cake,Waitrose Genoa Cake,Waitrose Ltd,2.6,GBP,1,C62,£2.60,69.3p/100g,018664-9019-9020,Waitrose Genoa Cake,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_018664_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_018664_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_018664_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_018664_BP_9.jpg,4.2764,123,each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
